Title,Takeaway,Authors,Year,Citations,Abstract,Study Type,Journal,Journal SJR Quartile,DOI,Consensus Link
"Gradient-based multidisciplinary design optimization of an autonomous underwater vehicle","Multidisciplinary design optimization (MDO) effectively minimizes energy consumption in autonomous underwater vehicles, making them more energy-efficient than initial designs.","Xu Chen, Peng Wang, Daiyu Zhang, Huachao Dong",2018,21,"","theoretical, modeling, or simulation study","Applied Ocean Research","1","10.1016/j.apor.2018.08.006","https://consensus.app/papers/gradientbased-multidisciplinary-design-optimization-of-chen-wang/dbc98ef7248759aa8e70922955c42b84/"
"Conceptual design of a long-range autonomous underwater vehicle based on multidisciplinary optimization framework","The multidisciplinary optimization design framework effectively optimizes the endurance of autonomous underwater vehicles, with velocity and diameter being key factors.","Feng Hu, Yan Huang, Zongbo Xie, Jiancheng Yu, Zhenyu Wang, Jianan Qiao",2022,22,"","","Ocean Engineering","1","10.1016/j.oceaneng.2022.110684","https://consensus.app/papers/conceptual-design-of-a-longrange-autonomous-underwater-hu-huang/f0712837a20255b5b5c4273372dad60a/"
"Analysis of Characteristics on a Compressed Air Power System Generating Supercavitation Drag Reduction for Underwater Vehicles","Compressed air power systems for underwater vehicles can significantly enhance endurance and maneuverability at high speeds, offering a compact, efficient solution for battery-powered vehicles.","Yijian He, Han Zhang",2024,6,"An unmanned underwater vehicle (UUV) powered by a compressed air power system is proposed to address challenges for battery/motor-powered vehicles under high-speed navigation, long endurance, and high mobility. These vehicles actively utilize supercavitation drag reduction by the exhausted gas from the compressed air power system. MATLAB/Simulink and FLUENT are used to establish theoretical models of the compressed air power system and ventilation supercavitation. The relationship between system power and navigation resistance is examined with different air flows, along with a comparison of endurance of different power vehicles at various speeds. The issue of the endurance-enhancing effect of supercavitation at high speed is investigated. The results demonstrate that increasing the air flow leads to higher power and reduced navigation resistance, and there is a balance between them. Furthermore, compared to the battery-powered vehicles with equal energy storage capacity, the compressed air power system shows 210.08% to 458.20% longer endurance times at speeds of 30 kn to 60 kn. Similarly, considering equal energy storage mass, it achieves 42.02% to 148.96% longer endurance times at high speeds (30 kn to 60 kn). The integration of supercavitation and air-powered systems can greatly enhance the endurance and maneuverability of the vehicle at high speeds while ensuring a compact system structure. The investigations could offer valuable ideas for the development and application of compressed air power systems for UUV at 30 kn to 60 kn or higher maneuvering.","","Energies","1","10.3390/en17071735","https://consensus.app/papers/analysis-of-characteristics-on-a-compressed-air-power-he-zhang/62cc0dee7f17587881ec739c3a77a50a/"
"Design and Testing of a Miniature Variable Buoyancy System for Underwater Vehicles","The miniature hydraulic Variable Buoyancy System (VBS) is a low-weight, small-sized design suitable for integration into small underwater vehicles, improving energy efficiency and endurance.","Moustafa Elkolali, Ahmed Al-Tawil, A. Alcocer",2022,11,"Buoyancy-driven underwater vehicles are key tools for obtaining data from the ocean. Underwater gliders and profiling floats, equipped with sensors, provide crucial information on ocean processes and climate changes. The Variable Buoyancy System (VBS) is a key element of these vehicles, and is in many cases the most complex and highest energy-consuming subsystem. Energy consumption directly determines a vehicle’s endurance and mission duration. This paper presents the design and testing of a miniature hydraulic VBS suitable for integration into small underwater vehicles and platforms. Previous VBS are reviewed, existing principles such as hydraulics and pneumatics are described, and an overview of their strengths and weaknesses is provided. The paper explains the concept and the components of the micro-hydraulic VBS, and provides experimental results from its testing in a pressure vessel up to 1000 m equivalent depth. All the components of the system were designed to be of low weight and small size in order to be used in small underwater vehicles such as gliders and profiling floats. The efficiency of the system is characterized for different operating conditions, and provides the basis for vehicle energy system design and endurance characterizations.","bench experiment","IEEE Access","1","10.1109/access.2022.3167833","https://consensus.app/papers/design-and-testing-of-a-miniature-variable-buoyancy-system-elkolali-al-tawil/c641c89a6831584b8be24ec455a66de7/"
"Optimum design of a small intelligent ocean exploration underwater vehicle","The optimization of a small intelligent ocean exploration underwater vehicle using the concurrent subspace design method led to a 27% decrease in weight and improved navigation performance, satisfying design requirements.","Zhou Heng, Jian Wang, Liu Zihao, Xin Jian, Yongjie Pang",2019,58,"","theoretical, modeling, or simulation study","Ocean Engineering","1","10.1016/j.oceaneng.2019.05.015","https://consensus.app/papers/optimum-design-of-a-small-intelligent-ocean-exploration-heng-wang/8eab9f287b9f545db92c22251720baa8/"
"A novel conceptual design approach for autonomous underwater helicopter based on multidisciplinary collaborative optimization","The multidisciplinary collaborative optimization strategy significantly reduces autonomous underwater helicopter optimization time and improves performance by 34.4%.","Yuan-Jie Chen, Haocai Huang",2024,16,"Autonomous underwater helicopters (AUHs) are complex electromechanical systems consisting of multiple interconnected sub-disciplines, posing a significant challenge for traditional sequential design strategies in managing their interactions. To address this challenge, a multidisciplinary collaborative optimization (MCO) strategy is proposed, integrating structural, hydrodynamic, and energy disciplines to enhance AUH cruising range. Additionally, a novel approximation model is introduced, combining the Logistic-Tent chaos sparrow search algorithm (LTC-SSA) with the backpropagation neural network (BPNN) algorithm. This method aims to replace costly computational fluid dynamics (CFD) and structural mechanics calculations, thus reducing AUH optimization costs. The laminate design of the composite pressure hull follows classic lamination theory (CLT) and the Tsai-Wu failure criterion. Results demonstrate that the multidisciplinary co-design strategy significantly reduces optimization time costs of AUH, from several months to several days. Furthermore, the proposed LTC-SSA-BPNN algorithm accurately evaluates sailing resistance and Tsai-Wu failure index, with maximum errors of 1.64% and 9.32% respectively. Additionally, the composite pressure shell achieves a 30.4% weight reduction and a 4.1% reduction in sailing resistance while maintaining structural stability. Moreover, the maximum cruising range increases by 34.4%. This strategy offers theoretical support for AUH conceptual design and promises performance enhancement in practical engineering applications.","theoretical, modeling, or simulation study","Engineering Applications of Computational Fluid Mechanics","1","10.1080/19942060.2024.2325494","https://consensus.app/papers/a-novel-conceptual-design-approach-for-autonomous-chen-huang/1a7cb0ba20e7597f981d2391d8628c2f/"
"Design, fabrication, and characterization of a multimodal hybrid aerial underwater vehicle","The Nezha III prototype successfully demonstrates its ability to fly and swim, with a lightweight pneumatic buoyancy system and foldable motor arms for better hydrodynamics.","Di Lu, Chengke Xiong, Hexiong Zhou, C. Lyu, Rui Hu, Caoyang Yu, Zheng Zeng, L. Lian",2020,95,"","bench experiment","Ocean Engineering","1","10.1016/j.oceaneng.2020.108324","https://consensus.app/papers/design-fabrication-and-characterization-of-a-multimodal-lu-xiong/2e24a0bf4fdf54ecb0e99414b112dbc2/"
"Fish-like shaped robot for underwater surveillance and reconnaissance – Hull design and study of drag and noise","The biomimetic autonomous underwater vehicle (BAUV) for intelligence surveillance and reconnaissance (ISR) has a fish-like hull shape, with mechanical design influencing the noise level and drag forces.","Morawski Marcin, Słota Adam, Zając Jerzy, Malec Marcin",2020,42,"","","Ocean Engineering","1","10.1016/j.oceaneng.2020.107889","https://consensus.app/papers/fishlike-shaped-robot-for-underwater-surveillance-and-marcin-adam/5adcd7d98f5750c18a4d0ff93cd45276/"
"A fine drag coefficient model for hull shape of underwater vehicles","This study developed a more accurate drag coefficient model for underwater vehicle hull shapes, aiding in rapid and efficient design of diverse hydrodynamic shapes.","Yuhong Liu, Zhenji Yu, L. Zhang, Tiantian Liu, De-Cheng Feng, Jinkai Zhang",2021,29,"","theoretical, modeling, or simulation study","Ocean Engineering","1","10.1016/j.oceaneng.2021.109361","https://consensus.app/papers/a-fine-drag-coefficient-model-for-hull-shape-of-underwater-liu-yu/f39325c7888b5310a48a9a7d6a678af1/"
"Thriving artificial underwater drag-reduction materials inspired from aquatic animals: progresses and challenges","Aquatic animals' surface microstructures and drag-reducing materials can inspire artificial underwater drag-reduction materials for various applications in traffic, energy, agriculture, and sports.","Guizhong Tian, Dongliang Fan, Xiaoming Feng, Honggen Zhou",2021,59,"In the past decades, drag-reduction surfaces have attracted more and more attention due to their potentiality and wide applications in various fields such as traffic, energy transportation, agriculture, textile industry, and military. However, there are still some drag-reduction materials that need to be deeply explored. Fortunately, natural creatures always have the best properties after long-term evolution; aquatic organisms have diversified surface microstructures and drag-reducing materials, which provide design templates for the development of thriving artificial underwater drag-reduction materials. Aquatic animals are tamed by the current while fighting against the water, and thus have excellent drag reduction that is unparalleled in water. Inspired by biological principles, using aquatic animals as a bionic object to develop and reduce frictional resistance in fluids has attracted more attention in the past few years. More and more aquatic animals bring new inspiration for drag-reduction surfaces and a tremendous amount of research effort has been put into the study of surface drag-reduction, with an aim to seek the surface structure with the best drag-reduction effect and explore the drag-reduction mechanism. This present paper reviews the research on drag-reduction surfaces inspired by aquatic animals, including sharks, dolphins, and other aquatic animals. Aquatic animals as bionic objects are described in detail, with a discussion on the drag-reduction mechanism and drag-reduction effect to understand the development of underwater drag-reduction fully. In bionic manufacturing, the effective combination of various preparation methods is summarized. Moreover, bionic surfaces are briefly explained in terms of traffic, energy sources, sports, and agriculture. In the end, both existing problems in bionic research and future research prospects are proposed. This paper may provide a better and more comprehensive understanding of the current research status of aquatic animals-inspired drag reduction.

This journal is © The Royal Society of Chemistry.","","RSC Advances","1","10.1039/d0ra08672j","https://consensus.app/papers/thriving-artificial-underwater-dragreduction-materials-tian-fan/e378b611144a5fb19c69e89c7bbdba68/"
